ID,Categoría,Nombre,Descripción,Precio,Nota
48,Cortes,Cowboy 400g,Con ensalada fresca y papitas al limón,$470.00,menú-platillos
49,Cortes,Tomahawk (1 kg – 1.2kg),Con una ensalada especial de la casa,"$1,200.00",menú-platillos
50,Cortes,Rib-eye 350g,Con papa al gratin y ensalada,$370.00,menú-platillos
51,Cortes,T-bone 350g,Con champiñones al ajillo y elote amarillo,$370.00,menú-platillos
52,Cortes,Arrachera 350g,Arrachera de res marinada y asada a la parrilla servida con guarniciones al estilo Tajal.,$330.00,menú-platillos
53,Cortes,Picaña 350g,Corte premium de res jugoso y tierno asado a la parrilla con sazón Tajal.,$300.00,menú-platillos
54,Mariscos,Pulpo Estilo Tajal,Pulpo a las brasas con puré de papa y ensalada,$420.00,menú-platillos
55,Mariscos,Salmón 350g,Medallón de salmón con vegetales salteados,$320.00,menú-platillos
56,Mariscos,Camarones Especial Tajal,Camarones rellenos con queso manchego y aderezo de la casa,$320.00,menú-platillos
57,Mariscos,Camarones al Gusto,"Con arroz y ensalada: a la mantequilla, a la diabla, al mojo de ajo y al ajillo",$250.00,menú-platillos
58,Mariscos,Tacos Gobernador,3 tacos de camarón gratinados con aguacate,$250.00,menú-platillos
59,Mariscos,Atún Sellado,Con costra de ajonjolí y ensalada fresca,$245.00,menú-platillos
60,Mariscos,Aguachile verde,Camarón fresco en caldo de chiles verdes cebolla cilantro y limón,$220.00,menú-platillos
61,Mariscos,Aguachile Negro de Camarón (165g),"Camarón fresco en caldo de tinta de calamar con cebolla, cilantro y chile",$220.00,menú-platillos
62,Mariscos,Aguachile Rojo de Camarón (165g),"Camarón fresco en caldo de chile rojo con cebolla, cilantro y limón",$220.00,menú-platillos
63,Mariscos,Torre Tajal de Atún,Atún rojo en trozos sobre aguacate,$280.00,menú-platillos
64,Menú Infantil,Hamburguesa Infantil,Con papas a la francesa,$150.00,menú-platillos
65,Menú Infantil,Nuggets de Pollo,Con papas a la francesa,$130.00,menú-platillos
66,Menú Infantil,Sopa de Fideo con Tocino,Sopa tradicional de fideo con trocitos de tocino,$90.00,menú-platillos
67,Menú Infantil,Hot Dogs,1 pieza con papas a la francesa,$80.00,menú-platillos
68,Postres,Pastel,"Variedad de sabores caseros, cambia cada día.",$135.00,menú-platillos
69,Postres,Flan Napolitano,Flan Napolitano de plátano macho o de vainilla,$135.00,menú-platillos
70,Postres,Pay helado,Disponible en sabores: cheesecake o limón,$135.00,menú-platillos
71,Extras,Arrachera 150g,Carne de arrachera asada,$80.00,menú-platillos
72,Extras,Pollo 150g,Pechuga de pollo a la plancha,$80.00,menú-platillos
73,Extras,Camarón 110g,"Camarón fresco al gusto (mantequilla, diabla o mojo de ajo)",$100.00,menú-platillos
74,Extras,Guacamole 150g,Guacamole casero con totopos,$90.00,menú-platillos
75,Extras,Orden de Arroz,Arroz blanco o rojo,$50.00,menú-platillos
76,Extras,Chorizo 150 g,Chorizo asado al carbón,$50.00,menú-platillos
77,Extras,Panela 150g,Panela asada al carbón con chimichurri,$50.00,menú-platillos
78,Extras,Elotes (3 rebanadas),"Elote asado en rebanadas con mayonesa, queso y chile",$50.00,menú-platillos
79,Extras,Frijoles 150g,Frijoles refritos o charros,$40.00,menú-platillos
80,Coctelería,Aperol Spritz,"Cóctel italiano refrescante con Aperol, prosecco y un toque de soda, servido con rodaja de naranja.",$150.00,menú-mixología
81,Coctelería,Bloody Mary,"Vodka, jugo de tomate y nuestro ingrediente secreto.",$130.00,menú-mixología
82,Coctelería,Canija,Baileys con un shot de expresso fresco.,$120.00,menú-mixología
83,Coctelería,Carajillo,"La amargura del café y la dulzura especiada del licor, equilibrio perfecto.",$150.00,menú-mixología
84,Coctelería,Clericot,Vino blanco frutal mezclado con frutas frescas de temporada y un toque de burbuja.,$150.00,menú-mixología
85,Coctelería,El Rey Abel,Especialidad de la casa.,$170.00,menú-mixología
86,Coctelería,Hierbabuena,Hierbabuena fresca con limón y soda,$95.00,menú-mixología
87,Coctelería,Margarita,"Clásica: sal negra, limón y tajín",$150.00,menú-mixología
88,Coctelería,Margarita Tajal,"Nuestra versión única: tequila reposado, triple seco, jugo de limón fresco y sal Tajal especial.",$180.00,menú-mixología
89,Coctelería,Paloma,Tequila toronja y soda,$130.00,menú-mixología
90,Coctelería,Michelada Clara,"Cerveza clara con jugo de limón, salsa Tajal, sal y especias, servida en vaso con hielo.",$130.00,menú-mixología
91,Coctelería,Michelada Obscura,Cerveza obscura con mezcla picante jugo de limón y sal gourmet.,$150.00,menú-mixología
92,Coctelería,Michelada con Camarón,"Camarones cocidos, limón, sal y sazón Tajal",$180.00,menú-mixología
93,Coctelería,Mimosa,Prosecco con jugo de naranja fresco ideal para brindis matutinos.,$130.00,menú-mixología
94,Coctelería,Old Fashion,"Whisky bourbon, azúcar y angostura, mezclado a mano y servido con hielo grande.",$210.00,menú-mixología
95,Coctelería,Cuba Libre,"Ron añejo, refresco de cola y jugo de limón, servido con hielo y rodaja de lima.",$160.00,menú-mixología
96,Coctelería,Mojito,"Ron blanco, hojas de hierbabuena fresca, lima, azúcar y soda.",$120.00,menú-mixología
97,Coctelería,Paloma,Tequila toronja y soda,$130.00,menú-mixología
98,Coctelería,Perla Negra,"Mezcla de vodka, licor de café y crema de leche, con un toque de chocolate.",$165.00,menú-mixología
99,Coctelería,Piña Colada,"Ron blanco, crema de coco y jugo de piña, licuado con hielo.",$150.00,menú-mixología
100,Coctelería,Ruso Blanco,Vodka con crema de leche y jarabe de cacao blanco.,$130.00,menú-mixología
101,Coctelería,Ruso Negro,"Vodka con crema de leche y cacao oscuro, suave y delicioso.",$150.00,menú-mixología
102,Coctelería,Sangría,"Vino tinto con frutas frescas, especias y un toque de brandy.",$120.00,menú-mixología
103,Coctelería,Maracay,"Tequila, jugo de piña, jarabe de maracuyá y limón fresco.",$195.00,menú-mixología
104,Coctelería,Vampiro,"Tequila, jugo de tomate, salsa picante y limón. Explosión de sabor.",$130.00,menú-mixología
105,Coctelería,Maracuñita,"Mezcal, maracuyá, jugo de limón y un toque de especias cítricas.",$185.00,menú-mixología
106,Coctelería,Tequila Sunrise,"Tequila, jugo de naranja y granadina, servido en capas espectaculares.",$180.00,menú-mixología
107,Coctelería,Conga,"Ron, jugo de piña, coco y canela, con un toque ahumado.",$170.00,menú-mixología
108,Coctelería,Bomba de Violeta,"Ginebra, licor de violeta, jugo de limón y burbuja, con esencia floral.",$200.00,menú-mixología
109,Coctelería,Clericot Blanco,Vino blanco semi-dulce con frutas tropicales y toque burbujeante.,$190.00,menú-mixología
110,Coctelería,Sangría,"Sangría envejecida con frutas frescas, vino selecto y toques cítricos.",$185.00,menú-mixología
111,Coctelería,Mezcalita,"Mezcal joven, jugo de naranja, Cointreau y limón, nuestra versión ahumada de la clásica margarita.",$175.00,menú-mixología
112,Coctelería,Flor de Durazno,"Ginebra, durazno, jugo de limón y agua de rosas, floral y refrescante.",$200.00,menú-mixología
113,Coctelería,Expresso Martini,"Vodka, licor de café, espresso doble y mucho hielo, batido hasta lograr una crema sedosa.",$200.00,menú-mixología
114,Coctelería,Manhattan,"Whisky, vermut rojo y angostura, elegante y clásico.",$180.00,menú-mixología
115,Cervezas,Corona,,$55.00,menú-mixología
116,Cervezas,Corona Light,,$55.00,menú-mixología
117,Cervezas,Modelo Especial,,$75.00,menú-mixología
118,Cervezas,Negra Modelo,,$75.00,menú-mixología
119,Cervezas,Pacífico,,$55.00,menú-mixología
120,Cervezas,Ultra,,$75.00,menú-mixología
121,Cervezas,Victoria,,$55.00,menú-mixología
122,Cervezas,Colimitas,,$95.00,menú-mixología
123,Cervezas,Colimita Lager,,$95.00,menú-mixología
124,Cervezas,Paromo,,$95.00,menú-mixología
125,Cervezas,Piedra Lisa,,$95.00,menú-mixología
126,Cervezas,Ticus,,$95.00,menú-mixología
127,Licores,30-30 Blanco,,$110.00,menú-mixología
128,Licores,30-30 Reposado,,$130.00,menú-mixología
129,Licores,30-30 Cristalino,,$150.00,menú-mixología
130,Licores,7 Leguas Blanco,,$150.00,menú-mixología
131,Licores,7 Leguas Reposado,,$130.00,menú-mixología
132,Licores,Centenario Plata,,$115.00,menú-mixología
133,Licores,Centenario Reposado,,$110.00,menú-mixología
134,Licores,Don Julio 70,,$250.00,menú-mixología
135,Licores,Don Julio Blanco,,$260.00,menú-mixología
136,Licores,Don Julio Reposado,,$210.00,menú-mixología
137,Licores,Herradura Blanco,,$210.00,menú-mixología
138,Licores,Herradura Plata,,$145.00,menú-mixología
139,Licores,Herradura Reposado,,$196.00,menú-mixología
140,Licores,Herradura Ultra,,$240.00,menú-mixología
141,Licores,Tradicional Plata,,$110.00,menú-mixología
142,Licores,Tradicional Reposado,,$115.00,menú-mixología
143,Licores,Bacardi Blanco,,$105.00,menú-mixología
144,Licores,Bacardí Mango,,$95.00,menú-mixología
145,Licores,Habana Club,,$120.00,menú-mixología
146,Licores,Zacapa 23,,$340.00,menú-mixología
147,Licores,Chivas 12,,$200.00,menú-mixología
148,Licores,Red Label,,$110.00,menú-mixología
149,Licores,Martell VSOP,,$350.00,menú-mixología
150,Licores,Genesis VSOP,,$350.00,menú-mixología
151,Licores,Beefeater,,$100.00,menú-mixología
152,Licores,Hendricks,,$260.00,menú-mixología
153,Licores,Tanqueray,,$140.00,menú-mixología
154,Licores,Absolut,,$110.00,menú-mixología
155,Licores,Absolut Citron,,$125.00,menú-mixología
156,Licores,Absolut Mandarina,,$110.00,menú-mixología
157,Licores,Absolut Raspberry,,$110.00,menú-mixología
158,Licores,Grey Goose,,$160.00,menú-mixología
159,Licores,400 Conejos (Joven),,$115.00,menú-mixología
160,Licores,Agua Maldita,,$115.00,menú-mixología
161,Licores,Apaluz,,$115.00,menú-mixología
162,Licores,Monte Lobos Joven,,$185.00,menú-mixología
163,Licores,Baileys,,$130.00,menú-mixología
164,Licores,Licor 43,,$120.00,menú-mixología
165,Sin Alcohol,Café Americano,,$65.00,menú-mixología
166,Sin Alcohol,Café Capuchino,,$65.00,menú-mixología
167,Sin Alcohol,Café Expreso,,$55.00,menú-mixología
168,Sin Alcohol,Agua Mineral Hethe,,$90.00,menú-mixología
169,Sin Alcohol,Botella de Agua,,$30.00,menú-mixología
170,Sin Alcohol,Red Bull,,$100.00,menú-mixología
171,Sin Alcohol,Refresco (355 ml),,$45.00,menú-mixología
172,Sin Alcohol,Rusa (Mineral o Squirt),,$60.00,menú-mixología
173,Sin Alcohol,Soda Italiana,,$90.00,menú-mixología
174,Sin Alcohol,Chocomilk,,$45.00,menú-mixología
175,Sin Alcohol,Jugo de Naranja,,$45.00,menú-mixología
176,Sin Alcohol,Limonada,,$75.00,menú-mixología
177,Sin Alcohol,Limonada 1L,,$140.00,menú-mixología
178,Sin Alcohol,Jarra de Limonada,,$190.00,menú-mixología
179,Sin Alcohol,Limonada de Frutos Rojos,,$75.00,menú-mixología
180,Sin Alcohol,Naranjada,,$75.00,menú-mixología
181,Sin Alcohol,Naranjada 1L,,$140.00,menú-mixología
182,Sin Alcohol,Jarra de Naranjada,,$190.00,menú-mixología
183,Sin Alcohol,Naranjada de Maracuyá,,$80.00,menú-mixología
184,Sin Alcohol,Piñada,,$90.00,menú-mixología
185,Sin Alcohol,Tisanas,,$65.00,menú-mixología
